manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
BEECH,Bonanza 36,,,1,Piston,LandPlane,L1P,L,BE36,G
BEECH,17,Staggerwing,,1,Piston,LandPlane,L1P,L,BE17,G
BEECH,18 (piston),,,2,Piston,LandPlane,L2P,L,BE18,G
BEECH,18 (turbine),,,2,Turboprop/Turboshaft,LandPlane,L2T,L,B18T,G
BEECH,19,Musketeer Sport,,1,Piston,LandPlane,L1P,L,BE19,G
BEECH,19,Sport,,1,Piston,LandPlane,L1P,L,BE19,G
BEECH,23,Musketeer,,1,Piston,LandPlane,L1P,L,BE23,G
BEECH,23,Sundowner,,1,Piston,LandPlane,L1P,L,BE23,G
BEECH,24,Musketeer Super,,1,Piston,LandPlane,L1P,L,BE24,G
BEECH,24,Sierra,,1,Piston,LandPlane,L1P,L,BE24,G
BEECH,33,Bonanza,,1,Piston,LandPlane,L1P,L,BE33,G
BEECH,33,Debonair,,1,Piston,LandPlane,L1P,L,BE33,G
BEECH,35,Bonanza,,1,Piston,LandPlane,L1P,L,BE35,G
BEECH,36,Bonanza (turbine),,1,Turboprop/Turboshaft,LandPlane,L1T,L,B36T,G
BEECH,45,Mentor,,1,Piston,LandPlane,L1P,L,T34P,G
BEECH,50,Twin Bonanza,,2,Piston,LandPlane,L2P,L,BE50,G
BEECH,55,Baron,,2,Piston,LandPlane,L2P,L,BE55,G
BEECH,56,Turbo Baron,,2,Piston,LandPlane,L2P,L,BE56,G
BEECH,58,Baron,,2,Piston,LandPlane,L2P,L,BE58,G
BEECH,60,Duke,,2,Piston,LandPlane,L2P,L,BE60,G
BEECH,65,Queen Air,,2,Piston,LandPlane,L2P,L,BE65,G
BEECH,70,Queen Air,,2,Piston,LandPlane,L2P,L,BE70,G
BEECH,76,Duchess,,2,Piston,LandPlane,L2P,L,BE76,G
BEECH,77,Skipper,,1,Piston,LandPlane,L1P,L,BE77,G
BEECH,80,Queen Air,,2,Piston,LandPlane,L2P,L,BE80,G
BEECH,80,Zamir,,2,Piston,LandPlane,L2P,L,BE80,G
BEECH,88,Queen Air,,2,Piston,LandPlane,L2P,L,BE88,G
BEECH,90 (A90-1),Ute,,2,Turboprop/Turboshaft,LandPlane,L2T,L,U21,G
BEECH,90 (A90-2),Ute,,2,Turboprop/Turboshaft,LandPlane,L2T,L,U21,G
