manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
BOEING,787-10 Dreamliner,,,2,Jet,LandPlane,L2J,H,B78X,B
BOEING,75,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,707-100,,,4,Jet,LandPlane,L4J,M,B701,D
BOEING,707-300,,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,717-200,,,2,Jet,LandPlane,L2J,M,B712,E
BOEING,717-200,Business Express,,2,Jet,LandPlane,L2J,M,B712,E
BOEING,720,,,4,Jet,LandPlane,L4J,M,B720,D
BOEING,727-100,,,3,Jet,LandPlane,L3J,M,B721,D
BOEING,727-100RE,Super 27,,3,Jet,LandPlane,L3J,M,R721,D
BOEING,727-200,,,3,Jet,LandPlane,L3J,M,B722,D
BOEING,727-200RE,Super 27,,3,Jet,LandPlane,L3J,M,R722,D
BOEING,737-200,,,2,Jet,LandPlane,L2J,M,B732,E
BOEING,737-200,Surveiller,,2,Jet,LandPlane,L2J,M,B732,E
BOEING,737-300,,,2,Jet,LandPlane,L2J,M,B733,E
BOEING,737-400,,,2,Jet,LandPlane,L2J,M,B734,E
BOEING,737-500,,,2,Jet,LandPlane,L2J,M,B735,E
BOEING,737-600,,,2,Jet,LandPlane,L2J,M,B736,D
BOEING,737-700,,,2,Jet,LandPlane,L2J,M,B737,D
BOEING,737-700,BBJ,,2,Jet,LandPlane,L2J,M,B737,D
BOEING,737-700,Wedgetail,,2,Jet,LandPlane,L2J,M,E737,D
BOEING,737-800,,,2,Jet,LandPlane,L2J,M,B738,D
BOEING,737-800,BBJ2,,2,Jet,LandPlane,L2J,M,B738,D
BOEING,737-900,,,2,Jet,LandPlane,L2J,M,B739,D
BOEING,737-900 BBJ3,,,2,Jet,LandPlane,L2J,M,B739,D
BOEING,747-100,,,4,Jet,LandPlane,L4J,H,B741,B
BOEING,747-200,,,4,Jet,LandPlane,L4J,H,B742,B
BOEING,747-300,,,4,Jet,LandPlane,L4J,H,B743,B
BOEING,747-400LCF,Dreamlifter,,4,Jet,LandPlane,L4J,H,BLCF,B
BOEING,747SP,,,4,Jet,LandPlane,L4J,H,B74S,B
BOEING,747SR,,,4,Jet,LandPlane,L4J,H,B74R,B
BOEING,757-200,,,2,Jet,LandPlane,L2J,M,B752,D
BOEING,757-300,,,2,Jet,LandPlane,L2J,M,B753,D
BOEING,767-200,,,2,Jet,LandPlane,L2J,H,B762,C
BOEING,767-300,,,2,Jet,LandPlane,L2J,H,B763,C
BOEING,767-400,,,2,Jet,LandPlane,L2J,H,B764,C
BOEING,777-200,,,2,Jet,LandPlane,L2J,H,B772,B
BOEING,777-200ER,,,2,Jet,LandPlane,L2J,H,B772,B
BOEING,777-200LR,,,2,Jet,LandPlane,L2J,H,B77L,B
BOEING,777-300,,,2,Jet,LandPlane,L2J,H,B773,B
BOEING,777-300ER,,,2,Jet,LandPlane,L2J,H,B77W,B
BOEING,787-8 Dreamliner,,,2,Jet,LandPlane,L2J,H,B788,B
BOEING,787-9 Dreamliner,,,2,Jet,LandPlane,L2J,H,B789,B
BOEING,AH-64,Longbow Apache,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H64,G
BOEING,AV-8,Harrier,,1,Jet,LandPlane,L1J,M,HAR,G
BOEING,B-17,Flying Fortress,,4,Piston,LandPlane,L4P,M,B17,E
BOEING,B-29,Superfortress,,4,Piston,LandPlane,L4P,M,B29,D
BOEING,777-F,,,2,Jet,LandPlane,L2J,H,B77L,B
BOEING,B-52,Stratofortress,,8,Jet,LandPlane,L8J,H,B52,B
BOEING,,BBJ2,,2,Jet,LandPlane,L2J,M,B738,D
BOEING,BBJ3,,,2,Jet,LandPlane,L2J,M,B739,D
BOEING,,Business Express,,2,Jet,LandPlane,L2J,M,B712,E
BOEING,C-17,Globemaster 3,,4,Jet,LandPlane,L4J,H,C17,C
BOEING,C-18,,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,C-22,,,3,Jet,LandPlane,L3J,M,B721,D
BOEING,C-32,,,2,Jet,LandPlane,L2J,M,B752,D
BOEING,C-40,,,2,Jet,LandPlane,L2J,M,B737,D
BOEING,C-40,Clipper,,2,Jet,LandPlane,L2J,M,B737,D
BOEING,C-97,Stratofreighter,,4,Piston,LandPlane,L4P,M,C97,D
BOEING,C-135FR,Stratotanker,,4,Jet,LandPlane,L4J,H,K35R,C
BOEING,C-137,,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,CH-47,Chinook,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H47,F
BOEING,,Chinook,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H47,F
BOEING,,Clipper,,2,Jet,LandPlane,L2J,M,B737,D
BOEING,CT-43,,,2,Jet,LandPlane,L2J,M,B732,E
BOEING,,Defender,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,NC-135,,,4,Jet,LandPlane,L4J,H,C135,C
BOEING,TC-135,,,4,Jet,LandPlane,L4J,H,R135,C
BOEING,Dreamlifter,,,4,Jet,LandPlane,L4J,H,BLCF,B
BOEING,Dreamliner (Srs.8),,,2,Jet,LandPlane,L2J,H,B788,B
BOEING,Dreamliner (Srs.9),,,2,Jet,LandPlane,L2J,H,B789,B
BOEING,E-3A (CFM56),Sentry,,4,Jet,LandPlane,L4J,H,E3CF,C
BOEING,E-3A (TF33),Sentry,,4,Jet,LandPlane,L4J,H,E3TF,C
BOEING,E-3B,Sentry,,4,Jet,LandPlane,L4J,H,E3TF,C
BOEING,E-3C,Sentry,,4,Jet,LandPlane,L4J,H,E3TF,C
BOEING,E-3D,Sentry,,4,Jet,LandPlane,L4J,H,E3CF,C
BOEING,E-3F,Sentry,,4,Jet,LandPlane,L4J,H,E3CF,C
BOEING,E-4,,,4,Jet,LandPlane,L4J,H,B742,B
BOEING,E-6,Mercury,,4,Jet,LandPlane,L4J,H,E6,C
BOEING,E-8,J-Stars,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,E-767,,,2,Jet,LandPlane,L2J,H,E767,C
BOEING,,Eagle,,2,Jet,LandPlane,L2J,M,F15,F
BOEING,EC-18,,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,EC-137,,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,,Explorer,,2,Turboprop/Turboshaft,Helicopter,H2T,L,EXPL,G
BOEING,F-15,Eagle,,2,Jet,LandPlane,L2J,M,F15,F
BOEING,F-15,Ra'am,,2,Jet,LandPlane,L2J,M,F15,F
BOEING,,Flying Fortress,,4,Piston,LandPlane,L4P,M,B17,E
BOEING,,Globemaster 3,,4,Jet,LandPlane,L4J,H,C17,C
BOEING,Hornet,,,2,Jet,LandPlane,L2J,M,F18H,F
BOEING,FA-18C Hornet,,,2,Jet,LandPlane,L2J,M,F18H,F
BOEING,,Goshawk,,1,Jet,LandPlane,L1J,M,HAWK,G
BOEING,,Harrier,,1,Jet,LandPlane,L1J,M,HAR,G
BOEING,HH-47,,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H47,F
BOEING,JE-3,Sentry,,4,Jet,LandPlane,L4J,H,E3TF,C
BOEING,,J-Stars,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,KC-135E,Stratotanker,,4,Jet,LandPlane,L4J,H,K35E,C
BOEING,KC-135R,Stratotanker,,4,Jet,LandPlane,L4J,H,K35R,C
BOEING,KC-135T,Stratotanker,,4,Jet,LandPlane,L4J,H,K35R,C
BOEING,KC-137,,,4,Jet,LandPlane,L4J,H,B703,C
BOEING,KC-767,,,2,Jet,LandPlane,L2J,H,B762,C
BOEING,KE-3,,,4,Jet,LandPlane,L4J,H,KE3,C
BOEING,,Lifter,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,,Longbow Apache,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H64,G
BOEING,MD-10,,,3,Jet,LandPlane,L3J,H,DC10,C
BOEING,MD-11,,,3,Jet,LandPlane,L3J,H,MD11,C
BOEING,MD-81,,,2,Jet,LandPlane,L2J,M,MD81,D
BOEING,MD-82,,,2,Jet,LandPlane,L2J,M,MD82,D
BOEING,MD-83,,,2,Jet,LandPlane,L2J,M,MD83,D
BOEING,MD-87,,,2,Jet,LandPlane,L2J,M,MD87,D
BOEING,MD-88,,,2,Jet,LandPlane,L2J,M,MD88,D
BOEING,MD-90,,,2,Jet,LandPlane,L2J,M,MD90,D
BOEING,FA-18D Hornet,,,2,Jet,LandPlane,L2J,M,F18H,F
BOEING,MD-500,,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,MD-500,Defender,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,MD-500,Nightfox,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,MD-520N,,,1,Turboprop/Turboshaft,Helicopter,H1T,L,MD52,G
BOEING,MD-530F,Lifter,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,MD-530MG,Defender,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,MD-530MG,Nightfox,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,MD-600N,,,1,Turboprop/Turboshaft,Helicopter,H1T,L,MD60,G
BOEING,MD-902,Explorer,,2,Turboprop/Turboshaft,Helicopter,H2T,L,EXPL,G
BOEING,,Mercury,,4,Jet,LandPlane,L4J,H,E6,C
BOEING,MH-47,Chinook,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H47,F
BOEING,N2S,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,,Nightfox,,1,Turboprop/Turboshaft,Helicopter,H1T,L,H500,G
BOEING,OC-135,,,4,Jet,LandPlane,L4J,H,C135,C
BOEING,PT-13,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,PT-17,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,PT-18,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,PT-27,Kaydet,,1,Piston,LandPlane,L1P,L,ST75,G
BOEING,,Ra'am,,2,Jet,LandPlane,L2J,M,F15,F
BOEING,RC-135,,,4,Jet,LandPlane,L4J,H,R135,C
BOEING,,Sentry (CFM56),,4,Jet,LandPlane,L4J,H,E3CF,C
BOEING,,Sentry (TF33),,4,Jet,LandPlane,L4J,H,E3TF,C
BOEING,,Stratofortress,,8,Jet,LandPlane,L8J,H,B52,B
BOEING,,Stratofreighter,,4,Piston,LandPlane,L4P,M,C97,D
BOEING,,Stratotanker (CFM56 engines),,4,Jet,LandPlane,L4J,H,K35R,C
BOEING,,Stratotanker (TF33 engines),,4,Jet,LandPlane,L4J,H,K35E,C
BOEING,Super 27 (100),,,3,Jet,LandPlane,L3J,M,R721,D
BOEING,Super 27 (200),,,3,Jet,LandPlane,L3J,M,R722,D
BOEING,,Superfortress,,4,Piston,LandPlane,L4P,M,B29,D
BOEING,,Surveiller,,2,Jet,LandPlane,L2J,M,B732,E
BOEING,T-45,Goshawk,,1,Jet,LandPlane,L1J,M,HAWK,G
BOEING,VC-25,,,4,Jet,LandPlane,L4J,H,B742,B
BOEING,VC-96,,,2,Jet,LandPlane,L2J,M,B732,E
BOEING,WC-135,,,4,Jet,LandPlane,L4J,H,C135,C
BOEING,,Wedgetail,,2,Jet,LandPlane,L2J,M,E737,D
BOEING,F-15 Slam Eagle,,,2,Jet,LandPlane,L2J,M,F15,F
BOEING,Slam Eagle,,,2,Jet,LandPlane,L2J,M,F15,F
BOEING,CC-177 Globemaster 3,,,4,Jet,LandPlane,L4J,H,C17,C
BOEING,P-8 Poseidon,,,2,Jet,LandPlane,L2J,M,P8,D
BOEING,737-800 Poseidon,,,2,Jet,LandPlane,L2J,M,P8,D
BOEING,Poseidon,,,2,Jet,LandPlane,L2J,M,P8,D
BOEING,737-700 AEWC,,,2,Jet,LandPlane,L2J,M,E737,D
BOEING,AH-64 Saraf,,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H64,G
BOEING,,Saraf,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H64,G
BOEING,JCH-47 Chinook,,,2,Turboprop/Turboshaft,Helicopter,H2T,M,H47,F
BOEING,747-8,,,4,Jet,LandPlane,L4J,H,B748,B
BOEING,Growler,,,2,Jet,LandPlane,L2J,M,F18S,F
BOEING,EA-18 Growler,,,2,Jet,LandPlane,L2J,M,F18S,F
BOEING,Dreamliner (Srs.10),,,2,Jet,LandPlane,L2J,H,B78X,B
BOEING,Super Hornet,,,2,Jet,LandPlane,L2J,M,F18S,F
BOEING,FA-18E Super Hornet,,,2,Jet,LandPlane,L2J,M,F18S,F
BOEING,FA-18F Super Hornet,,,2,Jet,LandPlane,L2J,M,F18S,F
BOEING,NEA-18 Growler,,,2,Jet,LandPlane,L2J,M,F18S,F
BOEING,777-8,,,2,Jet,LandPlane,L2J,H,B778,Z
BOEING,777-9,,,2,Jet,LandPlane,L2J,H,B779,Z
BOEING,747-8 BBJ,,,4,Jet,LandPlane,L4J,H,B748,B
BOEING,BBJ (747-8),,,4,Jet,LandPlane,L4J,H,B748,B
BOEING,777-200LR BBJ,,,2,Jet,LandPlane,L2J,H,B77L,B
BOEING,BBJ (777-200LR),,,2,Jet,LandPlane,L2J,H,B77L,B
BOEING,777-300ER BBJ,,,2,Jet,LandPlane,L2J,H,B77W,B
BOEING,BBJ (777-300ER),,,2,Jet,LandPlane,L2J,H,B77W,B
BOEING,787-8 BBJ,,,2,Jet,LandPlane,L2J,H,B788,B
BOEING,BBJ (787-8),,,2,Jet,LandPlane,L2J,H,B788,B
BOEING,787-9 BBJ,,,2,Jet,LandPlane,L2J,H,B789,B
BOEING,BBJ (787-9),,,2,Jet,LandPlane,L2J,H,B789,B
BOEING,737,MAX 7,,2,Jet,LandPlane,L2J,M,B37M,D
BOEING,737,MAX 7 BBJ,,2,Jet,LandPlane,L2J,M,B37M,D
BOEING,737,MAX 8,,2,Jet,LandPlane,L2J,M,B38M,D
BOEING,737,MAX 8 BBJ,,2,Jet,LandPlane,L2J,M,B38M,D
BOEING,737,MAX 9,,2,Jet,LandPlane,L2J,M,B39M,D
BOEING,737,MAX 9 BBJ,,2,Jet,LandPlane,L2J,M,B39M,D
BOEING,BBJ (737-700),,,2,Jet,LandPlane,L2J,M,B737,D
BOEING,BBJ (737 MAX 7),,,2,Jet,LandPlane,L2J,M,B37M,D
BOEING,BBJ (737 MAX 8),,,2,Jet,LandPlane,L2J,M,B38M,D
