manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
BOMBARDIER,CL-600 Regional Jet ,CRJ-1000,,2,Jet,LandPlane,L2J,M,CRJX,F
BOMBARDIER,Regional Jet CRJ-1000,,,2,Jet,LandPlane,L2J,M,CRJX,F
BOMBARDIER,BD-100,Challenger 300,,2,Jet,LandPlane,L2J,M,CL30,G
BOMBARDIER,BD-700,Global 5000,,2,Jet,LandPlane,L2J,M,GL5T,E
BOMBARDIER,BD-700,Global Express,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,,Challenger 300,,2,Jet,LandPlane,L2J,M,CL30,G
BOMBARDIER,,Global 5000,,2,Jet,LandPlane,L2J,M,GL5T,E
BOMBARDIER,,Global Express,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,,Sentinel,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,BD-500 CSeries CS100,,,2,Jet,LandPlane,L2J,M,BCS1,D
BOMBARDIER,BD-500 CSeries CS300,,,2,Jet,LandPlane,L2J,M,BCS3,D
BOMBARDIER,BD-100 Challenger 350,,,2,Jet,LandPlane,L2J,M,CL35,G
BOMBARDIER,Challenger 350,,,2,Jet,LandPlane,L2J,M,CL35,G
BOMBARDIER,CL-600 Challenger 650,,,2,Jet,LandPlane,L2J,M,CL60,F
BOMBARDIER,Challenger 650,,,2,Jet,LandPlane,L2J,M,CL60,F
BOMBARDIER,E-11,,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,BD-700 Global 7000,,,2,Jet,LandPlane,L2J,M,GL7T,E
BOMBARDIER,Global 7000,,,2,Jet,LandPlane,L2J,M,GL7T,E
BOMBARDIER,BD-700 ,Global 6000,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,Global 6000,,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,CSeries CS100,,,2,Jet,LandPlane,L2J,M,BCS1,D
BOMBARDIER,CSeries CS300,,,2,Jet,LandPlane,L2J,M,BCS3,D
BOMBARDIER,CS100,,,2,Jet,LandPlane,L2J,M,BCS1,D
BOMBARDIER,CS300,,,2,Jet,LandPlane,L2J,M,BCS3,D
BOMBARDIER,CL-600 ,Regional Jet CRJ-550,,2,Jet,LandPlane,L2J,M,CRJ7,F
BOMBARDIER,,Regional Jet CRJ-550,,2,Jet,LandPlane,L2J,M,CRJ7,F
BOMBARDIER,BD-700,Global 5500,,2,Jet,LandPlane,L2J,M,GL5T,E
BOMBARDIER,BD-700,Global 6500,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,BD-700,Global 7500,,2,Jet,LandPlane,L2J,M,GL7T,E
BOMBARDIER,,Global 5500,,2,Jet,LandPlane,L2J,M,GL5T,E
BOMBARDIER,,Global 6500,,2,Jet,LandPlane,L2J,M,GLEX,E
BOMBARDIER,,Global 7500,,2,Jet,LandPlane,L2J,M,GL7T,E
