manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
CANADAIR,A-10,Catalina,,2,Piston,Amphibian,A2P,M,CAT,Z
CANADAIR,C-143 Challenger 604,,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,,Catalina,,2,Piston,Amphibian,A2P,M,CAT,Z
CANADAIR,CC-109,Cosmopolitan,,2,Turboprop/Turboshaft,LandPlane,L2T,M,CVLT,D
CANADAIR,CC-144,Challenger 600,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CC-144B,Challenger 601,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CE-144A,Challenger 600,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CF-5,,,2,Jet,LandPlane,L2J,M,F5,G
CANADAIR,CF-104,Starfighter,,1,Jet,LandPlane,L1J,M,F104,G
CANADAIR,CF-116,,,2,Jet,LandPlane,L2J,M,F5,G
CANADAIR,,Challenger 600,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,,Challenger 601,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,,Challenger 604,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,Challenger 605,,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,,Challenger 800,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,Challenger 850,,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,Challenger 870,,,2,Jet,LandPlane,L2J,M,CRJ7,F
CANADAIR,Challenger 890,,,2,Jet,LandPlane,L2J,M,CRJ9,F
CANADAIR,CL-1,Catalina,,2,Piston,Amphibian,A2P,M,CAT,Z
CANADAIR,CL-13,Sabre,,1,Jet,LandPlane,L1J,M,F86,G
CANADAIR,CL-30,Silver Star,,1,Jet,LandPlane,L1J,M,T33,G
CANADAIR,CL-41,Tutor,,1,Jet,LandPlane,L1J,L,CL41,G
CANADAIR,CL-44-O,Guppy,,4,Turboprop/Turboshaft,LandPlane,L4T,M,CL4G,D
CANADAIR,CL-66,,,2,Turboprop/Turboshaft,LandPlane,L2T,M,CVLT,D
CANADAIR,CL-90,Starfighter,,1,Jet,LandPlane,L1J,M,F104,G
CANADAIR,CL-201,Starfighter,,1,Jet,LandPlane,L1J,M,F104,G
CANADAIR,CL-215,,,2,Piston,Amphibian,A2P,M,CL2P,E
CANADAIR,CL-215T,,,2,Turboprop/Turboshaft,Amphibian,A2T,M,CL2T,E
CANADAIR,CL-219,,,2,Jet,LandPlane,L2J,M,F5,G
CANADAIR,CL-226,,,2,Jet,LandPlane,L2J,M,F5,G
CANADAIR,CL-415,,,2,Turboprop/Turboshaft,Amphibian,A2T,M,CL2T,E
CANADAIR,CL-415,SuperScooper,,2,Turboprop/Turboshaft,Amphibian,A2T,M,CL2T,E
CANADAIR,CL-600,Challenger 600,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CL-600,Challenger 601,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CL-600,Challenger 604,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CL-600 Challenger 605,,,2,Jet,LandPlane,L2J,M,CL60,F
CANADAIR,CL-600,Challenger 800,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,CL-600 Challenger 850,,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,CL-600 Challenger 870,,,2,Jet,LandPlane,L2J,M,CRJ7,F
CANADAIR,CL-600 Challenger 890,,,2,Jet,LandPlane,L2J,M,CRJ9,F
CANADAIR,CL-600,Corporate Jetliner,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,CL-600,Regional Jet CRJ-100,,2,Jet,LandPlane,L2J,M,CRJ1,F
CANADAIR,CL-600,Regional Jet CRJ-200,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,CL-600,Regional Jet CRJ-440,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,CL-600,Regional Jet CRJ-700,,2,Jet,LandPlane,L2J,M,CRJ7,F
CANADAIR,CL-600,Regional Jet CRJ-701,,2,Jet,LandPlane,L2J,M,CRJ7,F
CANADAIR,CL-600,Regional Jet CRJ-705,,2,Jet,LandPlane,L2J,M,CRJ9,F
CANADAIR,CL-600,Regional Jet CRJ-900,,2,Jet,LandPlane,L2J,M,CRJ9,F
CANADAIR,CL-600,Regional Jet RJ-100,,2,Jet,LandPlane,L2J,M,CRJ1,F
CANADAIR,CL-600,Regional Jet RJ-200,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,CL-600,Special Edition,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,,Corporate Jetliner,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,,Cosmopolitan,,2,Turboprop/Turboshaft,LandPlane,L2T,M,CVLT,D
CANADAIR,CT-114,Tutor,,1,Jet,LandPlane,L1J,L,CL41,G
CANADAIR,CT-133,Silver Star,,1,Jet,LandPlane,L1J,M,T33,G
CANADAIR,CV-580,,,2,Turboprop/Turboshaft,LandPlane,L2T,M,CVLT,D
CANADAIR,F-104,Starfighter,,1,Jet,LandPlane,L1J,M,F104,G
CANADAIR,,Guppy,,4,Turboprop/Turboshaft,LandPlane,L4T,M,CL4G,D
CANADAIR,NF-5,,,2,Jet,LandPlane,L2J,M,F5,G
CANADAIR,OA-10,Catalina,,2,Piston,Amphibian,A2P,M,CAT,Z
CANADAIR,,Regional Jet CRJ-100,,2,Jet,LandPlane,L2J,M,CRJ1,F
CANADAIR,,Regional Jet CRJ-200,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,,Regional Jet CRJ-440,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,,Regional Jet CRJ-700,,2,Jet,LandPlane,L2J,M,CRJ7,F
CANADAIR,,Regional Jet CRJ-701,,2,Jet,LandPlane,L2J,M,CRJ7,F
CANADAIR,,Regional Jet CRJ-705,,2,Jet,LandPlane,L2J,M,CRJ9,F
CANADAIR,,Regional Jet CRJ-900,,2,Jet,LandPlane,L2J,M,CRJ9,F
CANADAIR,,Regional Jet RJ-100,,2,Jet,LandPlane,L2J,M,CRJ1,F
CANADAIR,,Regional Jet RJ-200,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,,Sabre,,1,Jet,LandPlane,L1J,M,F86,G
CANADAIR,,Silver Star,,1,Jet,LandPlane,L1J,M,T33,G
CANADAIR,,Special Edition,,2,Jet,LandPlane,L2J,M,CRJ2,F
CANADAIR,,Starfighter,,1,Jet,LandPlane,L1J,M,F104,G
CANADAIR,,SuperScooper,,2,Turboprop/Turboshaft,Amphibian,A2T,M,CL2T,E
CANADAIR,T-33,Silver Star,,1,Jet,LandPlane,L1J,M,T33,G
CANADAIR,,Tutor,,1,Jet,LandPlane,L1J,L,CL41,G
