manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
CESSNA,525 Citation M2,,,2,Jet,LandPlane,L2J,L,C25M,G
CESSNA,Citation M2,,,2,Jet,LandPlane,L2J,L,C25M,G
CESSNA,350,,,1,Piston,LandPlane,L1P,L,COL3,G
CESSNA,LC-42,,,1,Piston,LandPlane,L1P,L,COL3,G
CESSNA,LC-42 Corvalis,,,1,Piston,LandPlane,L1P,L,COL3,G
CESSNA,400,,,1,Piston,LandPlane,L1P,L,COL4,G
CESSNA,350 Corvalis,,,1,Piston,LandPlane,L1P,L,COL3,G
CESSNA,LC-41,,,1,Piston,LandPlane,L1P,L,COL4,G
CESSNA,LC-41 Corvalis TT,,,1,Piston,LandPlane,L1P,L,COL4,G
CESSNA,400 Corvalis TT,,,1,Piston,LandPlane,L1P,L,COL4,G
CESSNA,Corvalis,,,1,Piston,LandPlane,L1P,L,COL3,G
CESSNA,Corvalis TT,,,1,Piston,LandPlane,L1P,L,COL4,G
CESSNA,120,,,1,Piston,LandPlane,L1P,L,C120,G
CESSNA,140,,,1,Piston,LandPlane,L1P,L,C140,G
CESSNA,150,,,1,Piston,LandPlane,L1P,L,C150,G
CESSNA,150,Commuter,,1,Piston,LandPlane,L1P,L,C150,G
CESSNA,152,,,1,Piston,LandPlane,L1P,L,C152,G
CESSNA,170,,,1,Piston,LandPlane,L1P,L,C170,G
CESSNA,172,,,1,Piston,LandPlane,L1P,L,C172,G
CESSNA,172,Cutlass,,1,Piston,LandPlane,L1P,L,C172,G
CESSNA,172,Skyhawk,,1,Piston,LandPlane,L1P,L,C172,G
CESSNA,172RG,Cutlass RG,,1,Piston,LandPlane,L1P,L,C72R,G
CESSNA,175,,,1,Piston,LandPlane,L1P,L,C175,G
CESSNA,175,Skylark,,1,Piston,LandPlane,L1P,L,C175,G
CESSNA,177,,,1,Piston,LandPlane,L1P,L,C177,G
CESSNA,177,Cardinal,,1,Piston,LandPlane,L1P,L,C177,G
CESSNA,177RG,Cardinal RG,,1,Piston,LandPlane,L1P,L,C77R,G
CESSNA,180,,,1,Piston,LandPlane,L1P,L,C180,G
CESSNA,162 Skycatcher,,,1,Piston,LandPlane,L1P,L,C162,G
CESSNA,180,Skywagon 180,,1,Piston,LandPlane,L1P,L,C180,G
CESSNA,182,,,1,Piston,LandPlane,L1P,L,C182,G
CESSNA,182,Skylane,,1,Piston,LandPlane,L1P,L,C182,G
CESSNA,185,Skywagon,,1,Piston,LandPlane,L1P,L,C185,G
CESSNA,188,AgPickup,,1,Piston,LandPlane,L1P,L,C188,G
CESSNA,188,AgWagon,,1,Piston,LandPlane,L1P,L,C188,G
CESSNA,190,,,1,Piston,LandPlane,L1P,L,C190,G
CESSNA,195,,,1,Piston,LandPlane,L1P,L,C195,G
CESSNA,205,,,1,Piston,LandPlane,L1P,L,C205,G
CESSNA,206 (turbine),,,1,Turboprop/Turboshaft,LandPlane,L1T,L,C06T,G
CESSNA,206,Stationair,,1,Piston,LandPlane,L1P,L,C206,G
CESSNA,206,Super Skywagon,,1,Piston,LandPlane,L1P,L,C206,G
CESSNA,207 (turbine),,,1,Turboprop/Turboshaft,LandPlane,L1T,L,C07T,G
CESSNA,207,Skywagon 207,,1,Piston,LandPlane,L1P,L,C207,G
CESSNA,207,Stationair 7,,1,Piston,LandPlane,L1P,L,C207,G
CESSNA,207,Stationair 8,,1,Piston,LandPlane,L1P,L,C207,G
CESSNA,208,Caravan 1,,1,Turboprop/Turboshaft,LandPlane,L1T,L,C208,G
CESSNA,208,Cargomaster,,1,Turboprop/Turboshaft,LandPlane,L1T,L,C208,G
CESSNA,208,Grand Caravan,,1,Turboprop/Turboshaft,LandPlane,L1T,L,C208,G
CESSNA,208,Super Cargomaster,,1,Turboprop/Turboshaft,LandPlane,L1T,L,C208,G
CESSNA,210,,,1,Piston,LandPlane,L1P,L,C210,G
CESSNA,210,Centurion,,1,Piston,LandPlane,L1P,L,C210,G
CESSNA,305,Bird Dog,,1,Piston,LandPlane,L1P,L,O1,G
CESSNA,310,,,2,Piston,LandPlane,L2P,L,C310,G
CESSNA,318A,,,2,Jet,LandPlane,L2J,L,T37,G
CESSNA,318B,,,2,Jet,LandPlane,L2J,L,T37,G
CESSNA,318C,,,2,Jet,LandPlane,L2J,L,T37,G
CESSNA,318D,Dragonfly,,2,Jet,LandPlane,L2J,L,A37,G
CESSNA,318E,Dragonfly,,2,Jet,LandPlane,L2J,L,A37,G
CESSNA,320,Executive Skyknight,,2,Piston,LandPlane,L2P,L,C320,G
CESSNA,320,Skyknight,,2,Piston,LandPlane,L2P,L,C320,G
CESSNA,321,Bird Dog,,1,Piston,LandPlane,L1P,L,O1,G
CESSNA,335,,,2,Piston,LandPlane,L2P,L,C335,G
CESSNA,336,Skymaster,,2,Piston,LandPlane,L2P,L,C336,G
CESSNA,337,Super Skymaster,,2,Piston,LandPlane,L2P,L,C337,G
CESSNA,340,,,2,Piston,LandPlane,L2P,L,C340,G
CESSNA,401,,,2,Piston,LandPlane,L2P,L,C402,G
CESSNA,402,,,2,Piston,LandPlane,L2P,L,C402,G
CESSNA,402 (turbine),,,2,Turboprop/Turboshaft,LandPlane,L2T,L,C02T,G
CESSNA,402,Businessliner,,2,Piston,LandPlane,L2P,L,C402,G
CESSNA,402,Utililiner,,2,Piston,LandPlane,L2P,L,C402,G
CESSNA,404 (turbine),,,2,Turboprop/Turboshaft,LandPlane,L2T,L,C04T,G
