manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
EMBRAER,ERJ-170-100,,,2,Jet,LandPlane,L2J,M,E170,F
EMBRAER,175 (short wing),,,2,Jet,LandPlane,L2J,M,E75S,F
EMBRAER,175 (long wing),,,2,Jet,LandPlane,L2J,M,E75L,F
EMBRAER,ERJ-170-200 (short wing),,,2,Jet,LandPlane,L2J,M,E75S,F
EMBRAER,ERJ-170-200 (long wing),,,2,Jet,LandPlane,L2J,M,E75L,F
EMBRAER,EMB-505 Phenom 300,,,2,Jet,LandPlane,L2J,M,E55P,G
EMBRAER,Phenom 300,,,2,Jet,LandPlane,L2J,M,E55P,G
EMBRAER,ERJ-190,Lineage 1000,,2,Jet,LandPlane,L2J,M,E190,E
EMBRAER,,Lineage 1000,,2,Jet,LandPlane,L2J,M,E190,E
EMBRAER,EMB-135BJ Legacy,,,2,Jet,LandPlane,L2J,M,E35L,F
EMBRAER,EMB-135BJ Legacy 600,,,2,Jet,LandPlane,L2J,M,E35L,F
EMBRAER,EMB-135BJ Legacy 650,,,2,Jet,LandPlane,L2J,M,E35L,F
EMBRAER,170,,,2,Jet,LandPlane,L2J,M,E170,F
EMBRAER,190,,,2,Jet,LandPlane,L2J,M,E190,E
EMBRAER,A-1,,,1,Jet,LandPlane,L1J,M,AMX,G
EMBRAER,A-27,Tucano,,1,Turboprop/Turboshaft,LandPlane,L1T,L,TUCA,G
EMBRAER,A-29,,,1,Turboprop/Turboshaft,LandPlane,L1T,L,E314,G
EMBRAER,,ALX,,1,Turboprop/Turboshaft,LandPlane,L1T,L,E314,G
EMBRAER,AMX,,,1,Jet,LandPlane,L1J,M,AMX,G
EMBRAER,AT-26,Xavante,,1,Jet,LandPlane,L1J,L,M326,G
EMBRAER,AT-29,,,1,Turboprop/Turboshaft,LandPlane,L1T,L,E314,G
EMBRAER,,Bandeirante,,2,Turboprop/Turboshaft,LandPlane,L2T,L,E110,G
EMBRAER,,Bandeirulha,,2,Turboprop/Turboshaft,LandPlane,L2T,L,E110,G
EMBRAER,,Brasilia,,2,Turboprop/Turboshaft,LandPlane,L2T,M,E120,G
EMBRAER,C-95,Bandeirante,,2,Turboprop/Turboshaft,LandPlane,L2T,L,E110,G
EMBRAER,C-99,,,2,Jet,LandPlane,L2J,M,E145,F
EMBRAER,,Carioca,,1,Piston,LandPlane,L1P,L,P28B,G
EMBRAER,,Carioquinha,,1,Piston,LandPlane,L1P,L,P28A,G
EMBRAER,,Corisco,,1,Piston,LandPlane,L1P,L,P28R,G
EMBRAER,,Corisco 2,,1,Piston,LandPlane,L1P,L,P28T,G
EMBRAER,EC-9,Xingu,,2,Turboprop/Turboshaft,LandPlane,L2T,L,E121,G
