manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
PIPER,PA-28R-201,Arrow,,1,Piston,LandPlane,L1P,L,P28R,G
PIPER,,Arrow,,1,Piston,LandPlane,L1P,L,P28R,G
PIPER,PA-46R-350T,Malibu Matrix,,1,Piston,LandPlane,L1P,L,PA46,G
PIPER,,Malibu Matrix,,1,Piston,LandPlane,L1P,L,PA46,G
PIPER,PA-28RT-201T Turbo Arrow 4,,,1,Piston,LandPlane,L1P,L,P28U,G
PIPER,Turbo Arrow 4,,,1,Piston,LandPlane,L1P,L,P28U,G
PIPER,PA-28R-201T Turbo Arrow 3,,,1,Piston,LandPlane,L1P,L,P28S,G
PIPER,PA-28R-201T Turbo Arrow,,,1,Piston,LandPlane,L1P,L,P28S,G
PIPER,Turbo Cherokee Arrow 3,,,1,Piston,LandPlane,L1P,L,P28S,G
PIPER,Turbo Arrow 3,,,1,Piston,LandPlane,L1P,L,P28S,G
PIPER,Turbo Arrow,,,1,Piston,LandPlane,L1P,L,P28S,G
PIPER,PA-28-181 Archer TX,,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,Archer TX,,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,6X,,,1,Piston,LandPlane,L1P,L,PA32,G
PIPER,6XT,,,1,Piston,LandPlane,L1P,L,PA32,G
PIPER,108,Station Wagon,,1,Piston,LandPlane,L1P,L,S108,G
PIPER,108,Voyager,,1,Piston,LandPlane,L1P,L,S108,G
PIPER,AE,Cub Cruiser,,1,Piston,LandPlane,L1P,L,J5,G
PIPER,,Aerostar,,2,Piston,LandPlane,L2P,L,AEST,G
PIPER,,Apache,,2,Piston,LandPlane,L2P,L,PA23,G
PIPER,,Archer 2,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Archer 3,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Arrow 3,,1,Piston,LandPlane,L1P,L,P28R,G
PIPER,,Arrow 4,,1,Piston,LandPlane,L1P,L,P28T,G
PIPER,,Aztec,,2,Piston,LandPlane,L2P,L,PA27,G
PIPER,,Cadet,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Caribbean,,1,Piston,LandPlane,L1P,L,PA22,G
PIPER,,Cherokee 140-4,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Cherokee (PA-28-140/150/160/180),,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Cherokee (PA-28-235),,1,Piston,LandPlane,L1P,L,P28B,G
PIPER,,Cherokee Archer,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Cherokee Archer 2,,1,Piston,LandPlane,L1P,L,P28A,G
PIPER,,Cherokee Arrow,,1,Piston,LandPlane,L1P,L,P28R,G
PIPER,,Cherokee Arrow 2,,1,Piston,LandPlane,L1P,L,P28R,G
PIPER,,Cherokee Arrow 3,,1,Piston,LandPlane,L1P,L,P28R,G
PIPER,,Cherokee Challenger,,1,Piston,LandPlane,L1P,L,P28A,G
