manufacturer_code,model_no,model_name,model_version,engine_count,engine_type,aircraft_desc,description,wtc,tdesig,wtg
SAAB,29,,,1,Jet,LandPlane,L1J,M,SB29,G
SAAB,32,Lansen,,1,Jet,LandPlane,L1J,M,SB32,G
SAAB,35,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,39,Gripen,,1,Jet,LandPlane,L1J,M,SB39,G
SAAB,91,Safir,,1,Piston,LandPlane,L1P,L,SB91,G
SAAB,105,,,2,Jet,LandPlane,L2J,L,SB05,G
SAAB,340,,,2,Turboprop/Turboshaft,LandPlane,L2T,M,SF34,F
SAAB,2000,,,2,Turboprop/Turboshaft,LandPlane,L2T,M,SB20,F
SAAB,AJ37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,AJS37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,,Argus,,2,Turboprop/Turboshaft,LandPlane,L2T,M,SF34,F
SAAB,,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,F-35,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,,Gripen,,1,Jet,LandPlane,L1J,M,SB39,G
SAAB,J29,,,1,Jet,LandPlane,L1J,M,SB29,G
SAAB,J32,Lansen,,1,Jet,LandPlane,L1J,M,SB32,G
SAAB,J35,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,JA37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,JAS39,Gripen,,1,Jet,LandPlane,L1J,M,SB39,G
SAAB,,Lansen,,1,Jet,LandPlane,L1J,M,SB32,G
SAAB,MFI-15,Safari,,1,Piston,LandPlane,L1P,L,MF17,G
SAAB,MFI-17,Supporter,,1,Piston,LandPlane,L1P,L,MF17,G
SAAB,OS100,,,2,Turboprop/Turboshaft,LandPlane,L2T,M,SF34,F
SAAB,RF-35,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,S100,Argus,,2,Turboprop/Turboshaft,LandPlane,L2T,M,SF34,F
SAAB,,Safari,,1,Piston,LandPlane,L1P,L,MF17,G
SAAB,,Safir,,1,Piston,LandPlane,L1P,L,SB91,G
SAAB,SF37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,SH37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,Sk35,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,Sk37,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
SAAB,Sk50,Safir,,1,Piston,LandPlane,L1P,L,SB91,G
SAAB,Sk60,,,2,Jet,LandPlane,L2J,L,SB05,G
SAAB,,Supporter,,1,Piston,LandPlane,L1P,L,MF17,G
SAAB,T-17,Supporter,,1,Piston,LandPlane,L1P,L,MF17,G
SAAB,TF-35,Draken,,1,Jet,LandPlane,L1J,M,SB35,G
SAAB,Tp100,,,2,Turboprop/Turboshaft,LandPlane,L2T,M,SF34,F
SAAB,,Viggen,,1,Jet,LandPlane,L1J,M,SB37,F
